Date,Sales
2024-01-01,52.82783788817286
2024-01-02,49.99711072659899
2024-01-03,54.27083603496854
2024-01-04,58.991197818086526
2024-01-05,50.54852910113225
2024-01-06,50.89134916420279
2024-01-07,60.30022497552401
2024-01-08,56.58274908802984
2024-01-09,50.73880448361086
2024-01-10,56.138663101559374
2024-01-11,51.44744573280258
2024-01-12,51.7734412295211
2024-01-13,55.64824161791348
2024-01-14,45.20705409683001
2024-01-15,46.482476739758575
2024-01-16,52.62772550447725
2024-01-17,50.70549305594006
2024-01-18,57.66966115610215
2024-01-19,51.88527285624123
2024-01-20,49.68893948520581
2024-01-21,64.4017662881352
2024-01-22,56.26560935538078
2024-01-23,58.05090914831176
2024-01-24,50.90601885305218
2024-01-25,55.62195842962043
2024-01-26,59.21012479955796
2024-01-27,53.209618947696704
2024-01-28,61.149495509785375
2024-01-29,56.57148335272175
2024-01-30,58.41704225423316
2024-01-31,57.164885815895104
2024-02-01,69.72970306985569
2024-02-02,60.692617307076326
2024-02-03,55.76015161857289
2024-02-04,65.4467596863383
2024-02-05,55.511787219220906
2024-02-06,62.93885171423905
2024-02-07,52.37118678290365
2024-02-08,55.8000047243252
2024-02-09,63.69295219714916
2024-02-10,66.66492412067667
2024-02-11,64.08953377079541
2024-02-12,62.91063096471771
2024-02-13,62.23553686652689
2024-02-14,56.59655658919581
2024-02-15,60.63391140366195
2024-02-16,62.169686911119314
2024-02-17,69.9939515903743
2024-02-18,66.65753320177342
2024-02-19,56.350915392757585
2024-02-20,67.00871638465273
2024-02-21,63.68050561933393
2024-02-22,62.43430313360575
2024-02-23,69.08560320769787
2024-02-24,71.38577879262698
2024-02-25,71.08593166162927
2024-02-26,62.42732491120297
2024-02-27,65.2663062334335
2024-02-28,68.65265898756839
2024-02-29,72.05300480112786
2024-03-01,64.95325590536548
2024-03-02,66.58953921956578
2024-03-03,62.149675328837134
2024-03-04,61.85859380878762
2024-03-05,72.05524650501586
2024-03-06,74.92147639890683
2024-03-07,67.922509155805
2024-03-08,73.43709024379281
2024-03-09,70.3590137968221
2024-03-10,65.45114580343288
2024-03-11,70.60409918637998
2024-03-12,76.6021105808727
2024-03-13,68.84200013035331
2024-03-14,76.94791481090815
2024-03-15,56.123870156997285
2024-03-16,73.4243112749732
2024-03-17,69.836513778221
2024-03-18,67.98697235111906
2024-03-19,70.01577071279065
2024-03-20,59.68828483242772
2024-03-21,68.59111689585428
2024-03-22,71.53255170543845
2024-03-23,77.18812012545465
2024-03-24,67.2530930969904
2024-03-25,65.84189012341311
2024-03-26,67.40959470502091
2024-03-27,74.52351005067348
2024-03-28,71.61246397140971
2024-03-29,67.33619920595847
2024-03-30,72.5617072051646
2024-03-31,70.485202541464
2024-04-01,74.84155812575919
2024-04-02,66.48066014436039
2024-04-03,68.33928357871183
2024-04-04,67.99780245164706
2024-04-05,62.61560329442281
2024-04-06,71.38270760733684
2024-04-07,71.17041334624773
2024-04-08,69.8478485630814
2024-04-09,68.60061613777108
2024-04-10,62.64210928902454
2024-04-11,67.55530442577285
2024-04-12,67.87870125027595
2024-04-13,65.50882466653927
2024-04-14,68.63593537425119
2024-04-15,71.37900994455397
2024-04-16,78.70034047733563
2024-04-17,70.04724540390512
2024-04-18,70.36137188622274
2024-04-19,68.59500202141258
2024-04-20,59.2613667913132
2024-04-21,68.60505754866254
2024-04-22,68.91562967046471
2024-04-23,80.8020250062883
2024-04-24,67.38986769728227
2024-04-25,69.71982931355238
2024-04-26,67.89355719796748
2024-04-27,62.07339562660053
2024-04-28,73.47526052516496
2024-04-29,71.35990924290458
2024-04-30,71.38928610940167
2024-05-01,62.715905287024526
2024-05-02,74.10041494967703
2024-05-03,59.89572583309986
2024-05-04,69.65279505737409
2024-05-05,77.47936210352808
2024-05-06,61.37807940326488
2024-05-07,63.298110278405034
2024-05-08,66.42191410109052
2024-05-09,63.19561883099329
2024-05-10,57.74436367201015
2024-05-11,65.620587129841
2024-05-12,59.74181798200964
2024-05-13,67.19240237014783
2024-05-14,59.994029910560734
2024-05-15,72.10321029860694
2024-05-16,60.19540574046237
2024-05-17,62.25531695671117
2024-05-18,67.68305427638867
2024-05-19,57.20695570210089
2024-05-20,64.24042681720235
2024-05-21,69.37680803614342
2024-05-22,54.53784011911055
2024-05-23,63.22886129192808
2024-05-24,63.33189523574057
2024-05-25,65.66481940473602
2024-05-26,55.29069180369608
2024-05-27,54.58950218278215
2024-05-28,63.51451659889751
2024-05-29,62.099524329404595
2024-05-30,61.57371207204644
